ISO_YEAR,ISO_WEEK,COUNTRY_CODE,new_influenza_cases,new_influenza_mortality,new_covid_cases,new_covid_mortality
2020.0,2.0,LVA,71.0,0.0,0.0,0.0
2020.0,2.0,MAR,0.0,0.0,0.0,0.0
2020.0,2.0,MDA,67.0,0.0,0.0,0.0
2020.0,2.0,MDG,0.0,0.0,0.0,0.0
2020.0,2.0,MDV,0.0,0.0,0.0,0.0
2020.0,2.0,MEX,0.0,494.0,0.0,0.0
2020.0,2.0,MHL,0.0,0.0,0.0,0.0
2020.0,2.0,MKD,0.0,0.0,0.0,0.0
2020.0,2.0,MLI,28.0,0.0,0.0,0.0
2020.0,2.0,MLT,0.0,0.0,0.0,0.0
2020.0,2.0,MMR,0.0,0.0,0.0,0.0
2020.0,2.0,MNE,84.0,0.0,0.0,0.0
2020.0,2.0,MNG,717.0,0.0,0.0,0.0
2020.0,2.0,MNP,0.0,0.0,0.0,0.0
2020.0,2.0,MOZ,0.0,0.0,0.0,0.0
2020.0,2.0,MRT,0.0,0.0,0.0,0.0
2020.0,2.0,MTQ,0.0,0.0,0.0,0.0
2020.0,2.0,MUS,17.0,0.0,0.0,0.0
2020.0,2.0,MYS,190.0,0.0,0.0,0.0
2020.0,2.0,NCL,0.0,0.0,0.0,0.0
2020.0,2.0,NER,13.0,0.0,0.0,0.0
2020.0,2.0,NGA,0.0,0.0,0.0,0.0
2020.0,2.0,NIC,9.0,0.0,0.0,0.0
2020.0,2.0,NIU,0.0,0.0,0.0,0.0
2020.0,2.0,NOR,3997.0,0.0,0.0,0.0
2020.0,2.0,NPL,110.0,7.0,0.0,0.0
2020.0,2.0,NZL,0.0,0.0,0.0,0.0
2020.0,2.0,OMN,59.0,0.0,0.0,0.0
2020.0,2.0,PAK,6.0,0.0,0.0,0.0
2020.0,2.0,PAN,0.0,0.0,0.0,0.0
2020.0,2.0,PCN,0.0,0.0,0.0,0.0
2020.0,2.0,PER,0.0,0.0,0.0,0.0
2020.0,2.0,PHL,0.0,0.0,0.0,0.0
2020.0,2.0,PLW,0.0,0.0,0.0,0.0
2020.0,2.0,PNG,0.0,0.0,0.0,0.0
2020.0,2.0,POL,243.0,0.0,0.0,0.0
2020.0,2.0,PRK,27.0,0.0,0.0,0.0
